seq,ts_ticks,ts_src,ax_mg,ay_mg,az_mg,gx_mdps,gy_mdps,gz_mdps
470,635971122,0,1003,15,-11,-210,-980,-70
471,635976121,0,1003,15,-11,-210,-980,-70
472,635981124,0,1003,15,-11,-210,-980,-70
473,635986124,0,1003,15,-11,-210,-980,-70
474,635991123,0,1004,11,-13,-210,-1050,-70
475,635996126,0,1004,11,-13,-210,-1050,-70
476,636001122,0,1004,11,-13,-210,-1050,-70
477,636006125,0,1004,11,-13,-210,-1050,-70
478,636011123,0,1000,11,-12,-210,-1050,-70
479,636016123,0,1000,11,-12,-210,-1050,-70
480,636021124,0,1000,11,-12,-210,-1050,-70
481,636026124,0,1002,15,-10,-280,-980,-70
482,636031128,0,1002,15,-10,-280,-980,-70
483,636036121,0,1002,15,-10,-280,-980,-70
484,636041122,0,1002,15,-10,-280,-980,-70
485,636046123,0,1004,13,-11,-280,-1050,-70
486,636051122,0,1004,13,-11,-280,-1050,-70
487,636056122,0,1004,13,-11,-280,-1050,-70
488,636061123,0,1004,13,-11,-280,-1050,-70
489,636066121,0,999,12,-12,-280,-1190,-70
490,636071123,0,999,12,-12,-280,-1190,-70
491,636076122,0,999,12,-12,-280,-1190,-70
492,636081127,0,1002,14,-12,-280,-1050,-70
493,636086123,0,1002,14,-12,-280,-1050,-70
494,636091125,0,1002,14,-12,-280,-1050,-70
495,636096120,0,1002,14,-12,-280,-1050,-70
496,636101121,0,1005,11,-10,-210,-980,-70
497,636106125,0,1005,11,-10,-210,-980,-70
498,636111122,0,1005,11,-10,-210,-980,-70
499,636116122,0,1005,11,-10,-210,-980,-70
500,636121123,0,1000,12,-11,-280,-1120,-70
501,636126122,0,1000,12,-11,-280,-1120,-70
502,636131120,0,1000,12,-11,-280,-1120,-70
503,636136122,0,1000,12,-11,-280,-1120,-70
504,636141124,0,1002,14,-14,-280,-1050,-140
505,636146124,0,1002,14,-14,-280,-1050,-140
506,636151123,0,1002,14,-14,-280,-1050,-140
507,636156120,0,1002,12,-11,-210,-980,-70
508,636161123,0,1002,12,-11,-210,-980,-70
509,636166127,0,1002,12,-11,-210,-980,-70
510,636171124,0,1002,12,-11,-210,-980,-70
511,636176120,0,1002,12,-10,-280,-980,-70
512,636181122,0,1002,12,-10,-280,-980,-70
513,636186122,0,1002,12,-10,-280,-980,-70
514,636191123,0,1002,12,-10,-280,-980,-70
515,636196125,0,1004,13,-12,-280,-1050,-70
516,636201123,0,1004,13,-12,-280,-1050,-70
517,636206122,0,1004,13,-12,-280,-1050,-70
518,636211123,0,1000,13,-12,-210,-1120,-70
519,636216123,0,1000,13,-12,-210,-1120,-70
520,636221120,0,1000,13,-12,-210,-1120,-70
521,636226121,0,1000,13,-12,-210,-1120,-70
522,636231123,0,1001,13,-12,-280,-1050,-70
523,636236120,0,1001,13,-12,-280,-1050,-70
524,636241123,0,1001,13,-12,-280,-1050,-70
525,636246124,0,1001,13,-12,-280,-1050,-70
526,636251122,0,1004,14,-11,-280,-980,-70
527,636256124,0,1004,14,-11,-280,-980,-70
528,636261121,0,1004,14,-11,-280,-980,-70
529,636266123,0,1001,13,-10,-210,-1050,-70
530,636271122,0,1001,13,-10,-210,-1050,-70
